Length(in mm),Width (in mm),Sheet Cost(in Rs.)
600,600,1750
610,460,7890
1050,300,2350
914,560,10500
1050,610,11500
1050,300,2350
1050,300,2350
555,305,1780
1800,850,16620
1800,300,2950
1805,850,9760
760,850,3850
750,300,1850
760,850,3850
710,870,2350
3588,1565,29650
1350,600,4580
2260,750,14650
1400,760,10450
1050,300,2350
1550,760,8950
1330,350,3450
610,610,1750
900,600,12500
915,550,11500
500,200,7450
1750,675,14650
760,675,8450
900,800,26500
900,800,24500
2100,700,17500
950,900,11500
1050,700,15650
1150,700,17450
950,900,12500
5050,1650,58500
1050,550,2350
1050,550,2350
900,900,5530
750,900,6350
1950,700,13650
1950,700,11780
1350,700,9450
3910,1565,43500
1590,700,11550
760,850,3850
5200,1650,47500
3200,1200,38500
3010,1420,32500
900,900,5530
700,900,6350
1010,500,8160
1350,300,1850
1350,700,7580
1350,300,1850
2510,750,13750
1400,760,8560
1050,300,2350
1730,770,8926
1520,550,4250
500,200,7450
1750,675,14650
650,580,6580
950,900,11500
1050,300,2350
1540,760,8650
1330,550,2450
900,600,11450
610,610,1750
1150,1500,6860
914,550,11765
550,650,9850
