Length(in mm),Width (in mm),Sheet Cost(in Rs.)
610,610,1750
1400,760,8560
900,900,5530
1150,700,17450
750,900,6350
1520,550,4250
1350,600,4580
5050,1650,58500
1590,700,11550
1150,1500,6860
555,305,1780
2510,750,13750
1350,700,9450
2100,700,17500
5200,1650,47500
550,650,9850
1050,300,2350
1730,770,8926
500,200,7450
1950,700,13650
760,850,3850
1050,300,2350
914,560,10500
2260,750,14650
900,900,5530
1800,850,16620
1050,300,2350
1050,300,2350
1050,550,2350
1330,550,2450
1350,700,7580
914,550,11765
3588,1565,29650
760,675,8450
1950,700,11780
1750,675,14650
3010,1420,32500
915,550,11500
1750,675,14650
1540,760,8650
760,850,3850
1050,700,15650
610,610,1750
950,900,11500
1050,550,2350
900,800,24500
3910,1565,43500
900,600,11450
610,460,7890
1350,300,1850
1330,350,3450
1050,300,2350
900,600,12500
1550,760,8950
500,200,7450
710,870,2350
1010,500,8160
